date,close
2010-09-30,104.36
2010-10-29,108.3
2010-11-30,108.18
2010-12-31,115.14
2011-01-31,117.7
2011-02-28,121.78
2011-03-31,121.24
2011-04-29,124.8
2011-05-31,123.34
2011-06-30,120.68
2011-07-29,118.2
2011-08-31,111.68
2011-09-30,103.52
2011-10-31,114.64
2011-11-30,114.3
2011-12-30,114.9
2012-01-31,120.040001
2012-02-29,125.18
2012-03-30,128.74001
2012-04-30,127.92
2012-05-31,120.24
2012-06-29,124.56
2012-07-31,126.059998
2012-08-31,129.22
2012-09-28,131.84
2012-10-31,129.25999
2012-11-30,130
2012-12-31,130.38
2013-01-31,137.12
2013-02-28,138.94
2013-03-28,143.28
2013-04-30,146.28
2013-05-31,149.67999
2013-06-28,146.67999
2013-07-31,154.46001
2013-08-30,149.7
2013-09-30,154
2013-10-31,160.88
2013-11-29,165.7
2013-12-31,169.14999
2014-01-31,163.17999
2014-02-28,170.63
2014-03-31,171.35001
2014-04-30,172.59
2014-05-30,176.55
2014-06-30,179.42999
2014-07-31,176.96001
2014-08-29,183.99001
2014-09-30,180.59
2014-10-31,184.92999
2014-11-28,190.029999
2014-12-31,188.39999
2015-01-30,182.99001
2015-02-27,193.2
2015-03-31,189.2
2015-04-30,191.10001
2015-05-29,193.49001
2015-06-30,188.84
2015-07-31,192.95
2015-08-31,181.11
2015-09-30,175.71001
2015-10-30,190.56
2015-11-30,191.37
2015-12-31,186.92999
2016-01-29,177.75
2016-02-29,177.38
2016-03-31,188.56
2016-04-29,189.22
2016-05-31,192.53999
2016-06-30,192.2
2016-07-29,199.28
2016-08-31,199.52
2016-09-30,198.69
2016-10-31,195.13
2016-11-30,202.39999
2016-12-30,205.31
2017-01-31,208.97
2017-02-28,217.070007
2017-03-31,216.35001
2017-04-28,218.60001
2017-05-31,221.67
2017-06-30,222.059998
2017-07-31,226.64
2017-08-31,227.3
2017-09-29,230.75999
2017-10-31,236.13
2017-11-30,243.35001
2017-12-29,245.28999
2018-01-31,258.98999
2018-02-28,249.34
2018-03-29,242.080002
2018-04-30,242.92
2018-05-31,248.78999
2018-06-29,249.50999
2018-07-31,258.39999
2018-08-31,266.72
2018-09-28,267.049988
2018-10-31,248.78999
2018-11-30,253.48
2018-12-31,229.81
2019-01-31,248.009995
2019-02-28,256.070007
2019-03-29,259.54001
2019-04-30,270.01001
2019-05-31,252.87
2019-06-28,269.14999
2019-07-31,273.079987
2019-08-30,268.60001
2019-09-30,272.60001
2019-10-31,278.54999
2019-11-29,288.64999
2019-12-31,295.79999
2020-01-31,295.69
2020-02-28,271.73999
2020-03-31,236.82001
2020-04-30,267.10001
2020-05-29,279.75
2020-06-30,283.42999
2020-07-31,300.10001
2020-08-31,321.019989
2020-09-30,307.64999
2020-10-30,299.82001
2020-11-30,332.64001
2020-12-31,343.69
2021-01-29,340.17999
2021-02-26,349.59
2021-03-31,364.29999
2021-04-30,383.57001
2021-05-28,386.13
2021-06-30,393.51999
2021-07-30,403.14999
2021-08-31,415.049988
2021-09-30,394.39999
2021-10-29,422.16
2021-11-30,419.059998
2021-12-31,436.57001
2022-01-31,413.69
2022-02-28,401.35999
2022-03-31,415.17001
2022-04-29,378.70001
2022-05-31,379.67999
2022-06-30,346.88
2022-07-29,378.79001
2022-08-31,363.14999
2022-09-30,328.29999
2022-10-31,354.95001
2022-11-30,374.48999
2022-12-30,351.34
2023-01-31,373.44
2023-02-28,364.10999
2023-03-31,376.070007
2023-04-28,382.049988
2023-05-31,383.89001
2023-06-30,407.28
2023-07-31,420.67999
2023-08-31,413.82999
2023-09-29,392.70001
2023-10-31,384.17001
2023-11-30,419.39999
2023-12-29,436.79999
2024-01-31,443.82001
2024-02-29,466.92999
2024-03-28,480.70001
2024-04-30,461.42999
2024-05-31,484.62
2024-06-28,500.13
2024-07-31,505.92999
2024-08-30,518.039978
2024-09-30,527.66998
2024-10-31,522.66998
2024-11-29,553.45001
2024-12-31,538.81
2025-01-31,553.33002
2025-02-28,546.33002
2025-03-31,513.90997
2025-04-30,509.73999
2025-05-30,541.76001
2025-06-30,568.030029
2025-07-31,581.02002
2025-08-29,593.080017
2025-09-30,612.38
2025-10-31,627.039978
2025-11-28,628.40997
2025-12-31,627.13
2026-01-30,636.21997
2026-02-27,631.039978
2026-03-31,597.54999
2026-04-30,660.58002
2026-05-29,695.48999
2026-06-29,681.01001
